user,movie
1,128944
1,6016
1,27032
1,1219
1,3451
1,546
1,3578
1,2300
1,3028
1,1267
1,79702
1,6178
1,1527
1,96084
1,6732
1,4795
1,1204
1,1035
1,2728
1,31367
1,2160
1,49530
1,1136
1,1948
1,90439
1,8796
1,199
1,39
1,6852
1,7714
1,750
1,135133
1,3176
1,4816
1,4191
1,4223
1,63992
1,3330
1,1947
1,7361
1,7619
1,26792
1,2720
1,32917
1,95843
1,3081
1,6245
1,106782
1,4708
1,2872
1,3438
1,8738
1,27155
1,1343
1,1923
1,54503
1,296
1,2835
1,1429
1,1247
1,30825
1,26085
1,121338
1,6407
1,2857
1,1916
1,1093
1,7936
1,7067
1,95165
1,3499
1,187595
1,1391
1,327
1,380
1,32862
1,8385
1,107412
1,147196
1,121342
1,7082
1,4796
1,7085
1,4912
1,914
1,1495
1,52435
1,903
1,112552
1,100083
1,2863
1,132046
1,6639
1,2529
1,316
1,3633
1,1203
1,1580
1,1951
1,6734
1,2625
1,62383
1,1025
1,1356
1,2916
1,1591
1,849
1,586
1,4263
1,74458
1,160
1,648
1,5802
1,780
1,2701
1,7888
1,4394
1,6030
1,1083
1,6480
1,2946
1,26147
1,157865
1,31617
1,293
1,95182
1,158721
1,6812
1,8241
1,2683
1,2879
1,7000
1,1517
1,442
1,1831
1,208
1,75416
1,3864
1,2275
1,31553
1,2094
1,2053
1,6966
1,4749
1,1739
1,4748
1,26828
1,3175
1,2628
1,2761
1,108090
1,1249
1,3461
1,968
1,3468
1,1544
1,480
1,4750
1,181
1,552
1,170
1,464
1,1367
1,108932
1,136864
1,26084
1,70
1,628
1,733
1,164226
1,1479
1,85261
1,3054
1,5989
1,2617
1,4337
1,2067
1,5799
1,127052
1,79333
1,72998
1,673
1,494
1,1370
1,95
1,547
1,10
1,1552
1,990
1,3082
1,1722
1,1499
1,434
1,3546
1,5596
1,1262
1,4980
1,861
1,2273
1,876
1,420
1,6387
1,1918
1,7004
1,68791
1,3440
1,136859
1,736
1,90769
1,911
1,671
1,26764
1,2012
1,459
1,1917
1,40339
1,6333
1,2986
1,2498
1,49110
1,435
1,7988
1,26861
1,256
1,5597
1,688
1,1909
1,5
1,26151
1,53127
1,788
1,485
1,153
1,122904
1,191005
1,2571
1,379
1,1882
1,172
1,692
1,3697
1,6574
1,66
1,76
1,15
1,5651
1,6564
1,1215
1,6023
1,5801
1,41828
1,5349
1,84944
1,558
1,3948
1,91542
1,26195
1,7979
1,2681
1,151479
1,46972
1,548
1,904
1,132362
1,4850
1,158966
1,2600
1,288
1,1610
1,3802
1,737
1,26985
1,2549
1,2808
1,6996
1,112326
1,2807
1,1676
1,26819
1,92681
1,112
1,7048
1,1556
1,377
1,71999
1,185
1,3439
1,748
1,105504
1,111364
1,1562
1,836
1,2322
1,718
1,353
1,27683
1,1690
1,1762
1,611
1,34292
2,6016
2,53127
2,49530
2,106782
2,90439
2,3578
2,2160
2,7361
2,296
2,3176
2,63992
2,5989
2,3451
2,1219
2,96084
2,135133
2,750
2,74458
2,112421
2,4223
2,39
2,3499
2,1247
2,1267
2,1136
2,112552
2,85414
2,1343
2,1947
2,4708
2,1203
2,1916
2,117646
2,1035
2,79702
2,4816
2,199
2,77364
2,6732
2,6178
2,628
2,100083
2,105504
2,7235
2,2300
2,7714
2,1923
2,3330
2,30825
2,6852
2,3028
2,90524
2,1204
2,903
2,6245
2,54503
2,4191
2,31921
2,51545
2,79132
2,6395
2,38061
2,91500
2,116897
2,88125
2,43932
2,8738
2,6581
2,164226
2,74685
2,2728
2,6902
2,90769
2,5628
2,107314
2,4795
2,158966
2,46972
2,170945
2,2872
2,187031
2,117529
2,120637
2,132618
2,90738
2,150548
2,165347
2,55116
2,91542
2,74727
2,70728
2,141818
2,8894
2,140711
2,293
2,48516
2,6990
2,4896
2,120138
2,6666
2,134252
2,130050
2,68791
2,2529
2,73268
2,72998
2,8796
2,3081
2,7936
2,4719
2,52712
2,176419
2,4912
2,60074
2,3032
2,96655
2,150596
2,89898
2,26085
2,7619
2,1948
2,2009
2,6530
2,1327
2,4754
2,587
2,122904
2,191005
2,67197
2,113741
2,6645
2,46965
2,48678
2,60684
2,7067
2,95843
2,32917
2,61401
2,170399
2,85401
2,52462
2,1345
2,107997
2,7007
2,5027
2,1432
2,20
2,145
2,81132
2,188301
2,98961
2,8972
2,5530
2,8253
2,103249
2,4409
2,88744
2,116799
2,2524
2,83349
2,173145
2,171765
2,71999
2,27674
2,6407
2,55721
2,5065
2,60522
2,5021
2,4270
2,26344
2,8016
2,3947
2,3729
2,3682
2,1232
2,3503
2,26887
2,93805
2,135137
2,103341
2,87192
2,1951
2,92681
2,86355
2,94799
2,113350
2,914
2,159093
2,78469
2,2857
2,26614
2,135518
2,121338
2,108188
2,103339
2,104879
2,91128
2,145150
2,105835
2,160080
2,6021
2,5388
2,2535
2,2521
2,68597
2,32728
2,27426
2,6550
2,155064
2,80831
2,109191
2,6503
2,8968
2,52435
2,89087
2,57669
2,61323
2,91535
2,86644
2,122916
2,41569
2,94777
2,86190
2,7085
2,7082
2,121342
2,4796
2,8385
2,107412
2,32862
2,147196
2,74510
2,7445
2,8860
2,31617
2,99764
2,86295
2,90888
2,91273
2,114795
2,183635
2,114935
2,1206
2,6639
2,51255
2,1235
2,26147
2,4263
2,72165
2,3546
2,4874
2,27032
2,6564
2,3204
2,4818
2,3948
2,27549
2,3893
2,144606
2,108932
2,8370
2,4879
2,71535
2,1799
2,1093
2,127136
2,74545
2,139052
2,84601
2,143458
2,171917
2,82378
2,101088
2,40959
2,6548
2,8984
2,54648
2,45183
2,5678
2,7325
2,161594
2,99114
2,6003
2,30745
2,59947
2,66934
2,51925
2,160730
2,97470
2,81782
2,85020
2,132796
2,100737
2,122490
2,146730
2,92198
2,149612
2,2863
2,5522
3,4574
3,4632
3,8501
3,7027
3,2475
3,3527
3,1200
3,1210
3,2641
3,5746
3,7310
3,5922
3,4531
3,5212
3,135803
3,3444
3,7704
3,4636
3,147657
3,4568
3,6095
3,4630
3,4614
3,1389
3,4553
3,4443
3,5181
3,6078
3,7573
3,2376
3,69524
3,4005
3,2402
3,7570
3,2989
3,2990
3,2404
3,1378
3,1127
3,3703
3,1129
3,3766
3,2815
3,4594
3,3768
3,3767
3,2476
3,2816
3,4353
3,3698
3,1373
3,4939
3,4580
3,6583
3,2364
3,38583
3,2288
3,2642
3,2614
3,2525
3,6835
3,3576
3,4987
3,4941
3,2643
3,2105
3,3704
3,1375
3,105020
3,541
3,592
3,26504
3,1374
3,6664
3,115727
3,3389
3,4565
3,5244
3,2716
3,4552
3,4066
3,98633
3,42946
3,4675
3,98503
3,4717
3,4583
3,5248
3,5246
3,4397
3,85334
3,2457
3,6814
3,2414
3,1198
3,2956
3,1036
3,2741
3,4946
3,3763
3,4629
3,4498
3,52831
3,1101
3,2571
3,62383
3,115149
3,4497
3,140956
3,780
3,83613
3,1616
3,5782
3,2737
3,1291
3,2048
3,157172
3,87232
3,88140
3,68319
3,26593
3,95145
3,95147
3,95163
3,748
3,3837
3,303
3,2041
3,8677
3,122912
3,2322
3,2468
3,92420
3,88699
3,93563
3,130490
3,149902
3,95875
3,75985
3,79057
3,122920
3,100579
3,5720
3,2880
3,2748
3,316
3,2527
3,168252
3,120799
3,127323
3,82461
3,135518
3,27683
3,1320
3,2722
3,1037
3,2471
3,187595
3,5311
3,85131
3,4121
3,8633
3,111364
3,169984
3,91660
3,86835
3,1356
3,2916
3,849
3,1591
3,104243
3,85056
3,102125
3,94018
3,2115
3,3727
3,1994
3,1995
3,1996
3,480
3,1544
3,112852
3,6800
3,104837
3,2344
3,2403
3,133802
3,692
3,66
3,379
3,1882
3,76
3,172
3,6574
3,3697
3,26614
3,26764
3,2701
3,3793
3,3204
3,8118
3,2985
3,5349
3,4210
3,189547
3,111360
3,164881
3,96737
3,4597
3,167370
3,169982
3,173291
3,135567
3,135569
3,113345
3,122906
3,186587
3,112370
3,122898
3,136800
3,122900
3,122892
3,141544
3,130842
3,142509
3,111362
3,160
3,548
3,3877
3,160565
3,173307
3,158956
3,128542
3,122918
3,114935
3,183635
3,4110
3,3203
3,5733
3,4083
3,6809
3,4093
3,2401
3,5699
3,4133
3,5700
3,4275
3,2422
3,1261
3,80363
3,110553
3,111759
3,1608
3,183301
3,4086
3,4985
3,2193
3,1587
3,1275
3,2373
3,5039
3,5040
3,4915
3,3638
3,132046
3,26701
3,2167
3,94864
3,96691
3,260
3,2640
3,68358
3,26590
3,6350
3,161918
3,7040
3,1218
3,2490
3,1631
3,1687
3,145951
3,72591
3,2353
3,423
3,89
3,227
3,376
3,1427
3,2812
3,839
3,7017
3,8268
3,160341
3,5961
3,1518
3,1438
3,136012
3,1004
3,87520
3,26606
4,3451
4,3028
4,4795
4,6178
4,1204
4,3330
4,4191
4,3578
4,2300
4,4708
4,199
4,1219
4,90439
4,1947
4,6732
4,96084
4,26085
4,6245
4,2160
4,7714
4,1035
4,8738
4,1267
4,6016
4,4223
4,1948
4,8796
4,2728
4,106782
4,3176
4,39
4,1247
4,49530
4,7619
4,135133
4,750
4,121338
4,7936
4,7361
4,4912
4,63992
4,6407
4,6852
4,112552
4,4816
4,914
4,2857
4,95843
4,32917
4,2863
4,7085
4,7082
4,8385
4,32862
4,147196
4,4796
4,107412
4,121342
4,1916
4,3499
4,1951
4,7067
4,1093
4,54503
4,26147
4,6639
4,1923
4,1136
4,100083
4,903
4,31617
4,74458
4,52435
4,1343
4,4263
4,5802
4,3461
4,2872
4,1083
4,4394
4,2946
4,6480
4,7888
4,6030
4,1203
4,2529
4,3468
4,30825
4,79702
4,2067
4,4337
